DATE,CRSPTM1,CRSPME1,CRSPLC1,CRSPMI1,CRSPSC1,CRSPMC1,CRSPSX1,CRSPTMT,CRSPMET,CRSPLCT,CRSPMIT,CRSPSCT,CRSPMCT,CRSPSXT,CRSPSM1,CRSPSMT,CAP_RESTATEMENT,CRSPRE1,CRSPEN1,CRSPMT1,CRSPID1,CRSPCS1,CRSPHC1,CRSPTE1,CRSPUT1,CRSPFN1,CRSPIT1,CRSPRET,CRSPENT,CRSPMTT,CRSPIDT,CRSPCST,CRSPHCT,CRSPTET,CRSPUTT,CRSPFNT,CRSPITT,SECTOR_RESTATEMENT,CRSPMEV1,CRSPMEG1,CRSPLCV1,CRSPLCG1,CRSPMIV1,CRSPMIG1,CRSPSCV1,CRSPSCG1,CRSPMEVT,CRSPMEGT,CRSPLCVT,CRSPLCGT,CRSPMIVT,CRSPMIGT,CRSPSCVT,CRSPSCGT,CRSPSMG1,CRSPSMGT,CRSPSMV1,CRSPSMVT,VG_RESTATEMENT
2011-04-29,1028.17,1028.01,1028.44,1030.41,1028.78,1010.10,,1029.16,1029.17,1029.49,1030.95,1029.46,1010.47,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-02,1025.23,1026.02,1026.34,1027.80,1021.63,995.60,,1026.24,1027.19,1027.40,1028.35,1022.33,995.96,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-03,1019.94,1023.16,1022.11,1017.25,1009.89,983.00,,1020.95,1024.33,1023.17,1017.83,1010.60,983.49,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-04,1012.24,1016.10,1014.91,1009.38,999.45,970.09,,1013.40,1017.46,1016.14,1010.04,1000.21,970.63,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-05,1004.13,1006.01,1006.04,1006.17,996.21,964.67,,1005.36,1007.41,1007.35,1007.05,997.01,965.26,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-06,1008.07,1009.73,1010.08,1011.67,999.47,968.74,,1009.41,1011.26,1011.51,1012.65,1000.32,969.40,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-09,1013.64,1014.21,1014.99,1018.56,1009.37,976.91,,1015.01,1015.76,1016.44,1019.56,1010.24,977.62,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-10,1022.53,1021.75,1023.14,1029.56,1022.21,994.24,,1023.93,1023.32,1024.62,1030.58,1023.12,994.99,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-11,1010.64,1010.14,1011.68,1018.75,1007.87,978.13,,1012.51,1012.36,1013.70,1019.86,1008.89,979.00,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011-05-12,1015.71,1014.84,1016.49,1024.08,1014.06,988.07,,1017.69,1017.15,1018.62,1025.40,1015.16,989.12,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
