Date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,ME1 BM5,ME1 BM6,ME1 BM7,ME1 BM8,ME1 BM9,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME2 BM6,ME2 BM7,ME2 BM8,ME2 BM9,ME2 BM10,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME3 BM6,ME3 BM7,ME3 BM8,ME3 BM9,ME3 BM10,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,ME4 BM6,ME4 BM7,ME4 BM8,ME4 BM9,ME4 BM10,ME5 BM1,ME5 BM2,ME5 BM3,ME5 BM4,ME5 BM5,ME5 BM6,ME5 BM7,ME5 BM8,ME5 BM9,ME5 BM10,ME6 BM1,ME6 BM2,ME6 BM3,ME6 BM4,ME6 BM5,ME6 BM6,ME6 BM7,ME6 BM8,ME6 BM9,ME6 BM10,ME7 BM1,ME7 BM2,ME7 BM3,ME7 BM4,ME7 BM5,ME7 BM6,ME7 BM7,ME7 BM8,ME7 BM9,ME7 BM10,ME8 BM1,ME8 BM2,ME8 BM3,ME8 BM4,ME8 BM5,ME8 BM6,ME8 BM7,ME8 BM8,ME8 BM9,ME8 BM10,ME9 BM1,ME9 BM2,ME9 BM3,ME9 BM4,ME9 BM5,ME9 BM6,ME9 BM7,ME9 BM8,ME9 BM9,ME9 BM10,BIG LoBM,ME10 BM2,ME10 BM3,ME10 BM4,ME10 BM5,ME10 BM6,ME10 BM7,ME10 BM8,ME10 BM9,BIG HiBM
1927-05-01,-99.99,3.3396,-99.99,-8.9888,4.902,8.5998,25.5798,3.2218,9.712,7.6758,11.3979,0.0,-7.5918,13.1345,-99.99,0.0028,6.7067,17.2513,14.3078,8.0385,-4.7619,3.8238,-10.7143,3.9171,4.4632,-99.99,-0.9341,5.2057,9.6114,14.2039,-4.6079,16.0707,7.9953,-99.99,2.1816,7.5231,6.4453,12.8848,8.7262,8.6424,8.4449,-2.1954,4.9521,2.9168,3.7565,4.0735,-3.0931,3.181,32.6524,50.7407,0.8537,1.4439,6.0507,12.7399,6.2262,7.7602,1.2979,21.7458,5.5507,3.5636,8.9207,2.799,5.4918,9.7065,2.2424,1.7296,7.9909,3.1953,10.4992,5.3738,4.109,7.0089,8.7747,4.529,3.8944,5.2408,8.9292,4.0689,7.0529,6.5375,6.111,6.2472,5.0055,7.0828,4.9663,4.0685,6.598,8.6815,4.0711,-99.99,4.9102,4.2042,3.9479,3.9732,5.6675,5.0408,4.3816,4.1771,5.1699,-99.99
1927-06-01,-99.99,-17.2727,-99.99,-16.0494,-7.4799,-16.8017,-1.8889,7.6079,-4.8767,0.2859,-6.3204,-4.7619,-19.9478,17.8759,-99.99,0.3745,-11.9649,-5.8228,-8.0656,0.6091,0.0,-4.0459,15.1136,0.7284,8.4379,-99.99,2.8395,13.1194,-4.3569,-4.7995,-1.2542,5.6534,-1.8451,-99.99,0.5045,14.8322,7.0634,-9.8849,-15.7075,0.4212,0.4396,-1.6478,-7.7651,1.4271,-7.02,1.435,-5.1398,-3.2985,9.2753,2.2113,-0.8441,-4.8896,-2.9037,-5.4911,2.8547,-1.6119,-2.7994,7.0383,-2.2965,1.4251,3.0306,0.4734,-4.0308,0.2255,-3.1135,-4.3077,-2.8624,-0.936,8.9976,-5.5432,3.9961,-0.8373,-3.0651,-3.2437,-2.6797,-4.6504,1.5524,-10.4249,6.2353,-5.4545,-0.3802,-6.6826,-4.1344,-5.7977,-2.8366,-5.1975,-3.8342,-0.9128,-8.5767,-99.99,0.0864,0.4556,-3.5541,-3.7431,-2.6979,-2.1695,-3.1899,-4.144,-2.6685,-99.99
1927-07-01,-99.99,50.0,27.6786,65.2041,4.972,8.3366,20.6273,-0.7812,9.8209,2.0798,31.25,13.0,9.9434,-1.3889,4.2796,4.1815,3.5931,0.6176,9.9072,0.4794,8.7648,4.8287,3.8074,0.6299,-0.4631,2.1296,2.8791,8.3231,5.4566,6.0482,5.7419,4.9567,0.3726,19.6664,1.5263,11.5866,6.0333,7.9332,-0.9018,5.3204,7.819,-4.0589,9.398,3.4525,7.2418,1.7714,3.5892,4.1046,1.5867,-2.4361,4.0777,5.0378,6.7059,2.8433,12.3723,3.0578,4.248,-2.2755,3.7122,22.2904,9.4943,3.0334,4.5225,11.79,4.926,2.9889,10.5046,7.7239,7.6565,-5.0314,7.3786,6.1227,9.3956,2.086,15.8664,7.5066,5.5098,7.8222,-1.8182,3.6735,7.8339,6.519,6.9579,6.0862,3.5016,-99.99,4.5881,3.5608,13.5988,-99.99,8.768,8.2474,9.6459,2.0002,7.1835,9.3246,8.4431,8.5101,-99.99,-99.99
1927-08-01,-99.99,-16.6667,4.1958,-12.4899,-7.0882,2.4336,-8.6325,1.3921,-5.5778,-0.2527,20.6349,-1.7699,5.4135,7.6829,-2.351,5.7702,3.2817,-3.1253,1.6271,2.2398,-0.2142,-2.8057,3.4195,-5.026,-3.6106,-1.0561,-2.7356,-0.5627,-3.1811,9.1109,0.2332,1.9931,12.8065,-14.2058,0.3827,-7.1597,-4.4697,5.6544,13.7049,-0.2242,-3.9899,-1.3558,3.6739,-0.2966,-3.3697,2.5913,0.7294,-4.567,-2.4389,-7.7331,2.4861,-0.1963,1.4017,2.8223,12.9064,6.2454,-2.1109,-6.7956,-3.2868,-6.3664,-2.378,0.5584,4.7397,1.3117,4.0795,-0.7317,-4.16,0.2215,-4.1708,-0.3633,11.1971,3.4786,0.7761,7.0786,1.5072,1.2321,-1.7836,-3.7195,-12.6984,-10.8252,3.5759,-0.0101,2.2229,2.1478,-0.7767,-99.99,0.3532,-0.6614,3.1213,-99.99,5.5839,2.2417,1.6363,0.108,1.0698,-1.0088,0.3598,-1.495,-99.99,-99.99
1927-09-01,-99.99,40.0,-3.3557,15.1431,-7.9902,12.9028,5.3348,9.6932,-2.8832,-4.6571,-10.5263,4.5045,-9.9358,-3.9734,6.6399,-3.8189,-1.2656,-1.1179,2.9588,5.8989,1.2951,-2.0928,3.7481,17.1526,0.7935,1.8279,-4.5818,-1.9063,-1.377,-2.5548,1.1572,4.1666,5.1794,4.2479,3.8487,3.6077,5.9076,3.3726,0.4092,0.8197,-1.6561,4.336,0.2023,1.303,3.7726,0.2551,-2.9741,3.6987,0.3386,1.1883,0.7806,7.9768,-0.274,-0.0371,0.4271,2.3116,3.3806,4.3044,8.455,15.324,6.3805,7.3934,3.6196,5.1471,7.1027,4.3924,0.6947,6.682,10.5613,4.8385,1.6601,4.0638,1.5298,2.0587,2.344,5.8275,2.8037,12.4332,23.6364,7.385,5.066,2.2001,3.2591,5.6691,6.0709,-99.99,1.2183,4.5205,6.4724,-99.99,8.3077,3.7919,4.4248,0.744,6.284,4.5106,4.1445,4.6015,-99.99,-99.99
1927-10-01,-99.99,-14.2857,-21.5278,-9.1923,12.1354,-6.495,-8.7199,5.9819,-9.6424,-8.3523,-14.7059,2.069,-7.858,-5.4576,-1.7066,-3.6508,-2.2403,-4.3334,-6.5994,-18.5093,-0.2414,2.0455,3.5537,-5.6622,-10.2629,0.7335,-11.891,-5.2039,-3.664,0.6612,1.5107,2.1014,1.0291,-1.6878,-2.5499,3.6353,1.349,-5.8065,-11.2766,-10.0021,-2.3445,-3.8562,0.4482,-2.3783,-0.3669,-6.1055,-4.2435,-2.6051,-11.1504,-7.1452,2.0176,-1.868,-6.5319,-1.016,11.5108,-4.6424,-2.3562,-8.3196,-9.9891,-11.71,1.2648,6.7646,-5.0782,-4.0077,-3.7718,-0.0268,-2.7549,-1.9397,-11.4725,-11.9119,-0.6909,-0.7525,1.2628,-2.1236,-7.1676,-2.2263,-3.4971,-11.2722,-9.0686,-11.4836,0.3605,-6.8789,-1.4045,-4.323,-4.7141,-99.99,-4.7714,-5.3316,-13.8176,-99.99,-4.9678,-2.7406,-3.0596,-1.8579,-3.8381,-4.6648,-5.4854,-3.4081,-99.99,-99.99
1927-11-01,-99.99,-99.99,18.5841,-1.8519,2.1047,14.7926,35.5552,8.3924,20.4429,14.855,6.8966,6.8966,12.9167,13.0426,20.976,20.8957,-1.9844,9.6648,11.7617,11.8969,12.2296,71.7864,20.6746,30.9823,24.0521,3.988,9.6164,15.8249,5.5909,12.2693,18.9018,5.6735,11.2229,4.9169,10.413,0.9782,7.5611,4.1515,11.3874,0.8562,7.6201,1.2394,7.7597,4.7358,9.8557,4.4271,4.4874,6.7235,14.6405,22.66,6.118,10.1943,10.3139,10.8278,9.5277,9.5361,9.7113,7.8074,5.4798,7.884,4.4261,4.505,13.7575,9.5545,-1.1115,4.0456,12.0574,9.5833,10.2912,12.8103,8.7773,8.9802,6.1438,7.2167,11.749,10.6047,1.5224,13.9126,7.6819,3.973,7.8748,6.3914,12.1862,7.0802,7.0499,-99.99,4.609,7.5739,7.9304,-99.99,7.6077,5.0274,8.3644,4.4056,6.3655,8.3742,5.7685,3.9969,-99.99,-99.99
1927-12-01,-99.99,-99.99,-16.4179,5.5035,27.236,9.6296,6.7124,12.5141,-3.4028,3.4218,-9.6774,4.8387,8.6814,9.3886,1.5359,-3.6688,3.3843,2.2156,11.0065,2.5798,12.5759,0.6461,1.8335,-8.7563,3.7288,12.1147,-7.7785,5.783,-1.0443,-2.3716,16.6057,0.4886,9.3313,3.6417,0.024,0.3998,5.8278,2.5639,4.1562,1.505,-1.9763,9.3895,6.7437,-0.7547,7.8253,2.3534,2.452,1.1767,4.9187,-1.4735,3.1004,5.4046,7.1528,3.2366,5.6781,3.2644,3.5872,7.6745,4.0636,11.6045,1.7958,0.2126,-2.9171,2.4825,-1.763,1.8715,3.5529,10.9633,0.7787,-5.9897,2.3799,-1.8211,11.7967,5.499,7.1659,6.6335,1.1436,0.2907,-1.8773,-2.0358,6.6069,4.4484,8.0539,1.7634,3.8378,-99.99,3.5685,4.9177,10.992,-99.99,2.4888,-0.4932,0.2108,-1.1557,0.7154,1.668,1.979,-0.4355,-99.99,-99.99
1928-01-01,-99.99,-99.99,-21.4286,45.5229,-5.8352,-0.1364,4.5395,-1.5065,9.3184,28.5285,-10.7143,-4.9231,9.5893,11.3772,16.4111,5.958,-7.1405,3.3004,8.9127,2.5851,10.1836,-3.2219,11.7206,3.9668,-5.526,1.9968,-2.923,9.0666,-0.5817,7.9301,0.6614,0.8634,7.2223,-1.5635,-1.1804,3.7959,2.2176,6.5125,-3.6392,-5.0887,2.619,4.9507,0.1684,2.808,8.939,2.4546,2.8658,4.2407,-4.2206,-6.4439,5.5095,6.4289,1.9342,2.4024,-4.3086,5.8197,1.859,3.6413,-2.4804,-9.7247,2.2683,3.5233,-2.1109,0.4019,4.33,6.036,2.4027,-0.3513,6.4157,-4.6055,0.4385,0.2599,0.6348,2.247,-1.7337,-2.177,5.1754,-3.5365,17.3469,-9.8146,0.6353,4.5346,0.1014,-1.4589,0.7429,-99.99,4.8811,-3.1462,-5.2946,-99.99,-1.8251,-0.5321,0.073,-2.0291,-1.8163,0.1251,-0.7677,-0.6316,-99.99,-99.99
1928-02-01,-99.99,-99.99,-5.6818,-9.7444,-6.3862,-1.7282,2.5825,-1.6113,8.2427,-3.8318,-4.0,6.5574,-4.2459,-7.4713,-5.1908,20.2376,6.6038,4.8491,-3.4432,-11.065,-6.3307,6.1966,-7.5308,7.9571,-8.697,-3.5564,4.2575,-4.7311,-5.9299,-3.6772,-8.8994,-7.0475,-1.7334,0.588,-2.0019,-1.125,-3.2321,-0.3763,-11.8093,2.3779,-11.0262,-2.4682,-2.822,1.0116,-4.2233,-2.0168,-4.0081,-3.0256,-2.4945,-11.9355,-1.2334,-2.4754,1.5963,-3.9243,-5.1668,0.5524,0.1638,-5.8013,-5.7917,-2.695,3.5354,-3.0233,-3.4442,-2.4577,-1.725,0.108,-6.3364,1.2931,-19.5768,-5.9409,-6.7944,-6.6985,-0.425,0.2254,-2.5452,-3.3147,-1.2845,-6.3351,-1.7391,-2.3316,-0.4327,-1.8478,-2.128,-2.649,-2.199,-99.99,-3.3953,-3.3336,-1.9979,-99.99,-1.5017,-0.5038,-0.9431,0.9082,-1.2918,-1.3375,-1.733,-0.2898,-99.99,-99.99
