N,K,num_particles,config_id,filter_type,rmse_f_mean,rmse_f_median,rmse_h_mean,rmse_h_median,rmse_f_ratio,rmse_h_ratio
5,2,1000,PF 1000,PF,0.994885014660849,0.3017082220888387,0.3547213398336212,0.3222133851865858,3.2975071337893564,1.1008895227248576
150,15,5000,PF 5000,PF,4.152548779444736,1.2934922391677293,2.135974448623746,1.9758504209346064,3.2103391529558825,1.0810405615691288
150,10,5000,PF 5000,PF,2.2218284671320667,0.7103935934527896,1.6292500635096838,1.5782764845387178,3.1276020611800774,1.0322969894504028
20,5,5000,PF 5000,PF,0.8570409769964661,0.2884499366662518,1.0170105042961108,0.9777844059128415,2.971194887063182,1.0401173286729282
150,5,20000,PF 20000,PF,0.5480587728637485,0.2114092634517778,1.0854690070173092,1.0047952238071416,2.592406614144229,1.0802887805382841
50,5,1000,PF 1000,PF,0.9684890559091182,0.3739155262722136,1.1800847521565354,1.0475687621683525,2.59012795099621,1.1264986077991572
20,10,5000,PF 5000,PF,2.3670766626271744,0.9232866398809408,1.8210229476632709,1.6809677206265252,2.5637505844689925,1.0833182132638126
150,15,20000,PF 20000,PF,2.774047494919837,1.1144485606016865,2.0528556873535044,1.9357217080999292,2.489166026130573,1.0605117867736018
10,3,10000,PF 10000,PF,0.5146863560981277,0.2180187599445575,0.4909991111804536,0.4622319537912146,2.3607434343219516,1.0622353282876518
20,10,20000,PF 20000,PF,1.7479905479087237,0.752605229675141,1.7178509680433314,1.5366451134549957,2.322586236430003,1.1179230344089743
50,5,20000,PF 20000,PF,0.4421513369124994,0.1977573646474408,0.9873258658940792,0.9134076646016702,2.235827412550531,1.0809257510715593
150,2,5000,PF 5000,PF,0.1124939401888149,0.0525415625586127,0.3498090897429696,0.3202430623408148,2.141046720171719,1.0923237093289144
50,5,5000,PF 5000,PF,0.5701126528309901,0.2664545622869441,1.0734926417047352,0.9785179132173498,2.1396242869245286,1.0970597749969748
20,5,20000,PF 20000,PF,0.4368030909192755,0.2085015675676508,0.9224190585001892,0.8678824443451463,2.0949631027476547,1.0628387110609123
100,5,5000,PF 5000,PF,0.6066384793489107,0.2919410612999998,1.1857724402490608,1.0975266685390814,2.0779484620888136,1.0804042163526135
150,5,1000,PF 1000,PF,0.6395945212851355,0.3484534827106729,1.1624810006460466,1.074313025818693,1.8355233998800413,1.0820691667218352
20,5,10000,PF 10000,PF,0.3718794590931774,0.2298280311371385,0.9072481950211057,0.8437144487783308,1.6180770346123563,1.0753024276575678
50,3,5000,PF 5000,PF,0.1687342726077638,0.1077594715232173,0.5643292034794828,0.5292777715375837,1.565841686328326,1.0662250217689524
100,5,1000,PF 1000,PF,0.5579512901975537,0.3592960392697579,1.1363243189937038,1.060705039171196,1.5529013103833476,1.0712915250045332
20,5,1000,PF 1000,PF,0.5508303041052178,0.3605219656214766,1.0701322783530551,0.9805873150310316,1.5278689140498918,1.0913176847685306
5,5,1000,PF 1000,PF,0.8355791712288847,0.54803598806654,1.0277442284432834,0.926501466048412,1.5246793813245574,1.1092742603275938
5,5,10000,PF 10000,PF,0.6548924835145526,0.4563555212236923,0.8528730249374246,0.7843244644756877,1.4350488885474517,1.087398217914267
100,3,20000,PF 20000,PF,0.0991366201538182,0.0715381786250799,0.5446381091120935,0.5240560410749802,1.3857861922006331,1.0392745554366551
100,5,10000,PF 10000,PF,0.3196099666112548,0.2354178680548846,1.061264410754141,0.9780920363316994,1.3576283280959027,1.085035325238284
100,3,10000,PF 10000,PF,0.1010249559589341,0.0794255262526973,0.5440631311500025,0.5310222131795117,1.271945692087917,1.0245581402186696
20,3,10000,PF 10000,PF,0.18504462069484,0.1488206395331642,0.5075460213542459,0.4808146623416824,1.2434069714745675,1.055595973056178
50,3,10000,PF 10000,PF,0.1153644269712658,0.0971006170114416,0.5301572901023492,0.5050310463960782,1.1880915953157345,1.0497518793855802
150,3,5000,PF 5000,PF,0.1059394037142435,0.089668800693379,0.637047890383983,0.6251980647553256,1.181452220784145,1.0189537145053302
100,3,1000,PF 1000,PF,0.1576540843351747,0.1349512464657861,0.625074606416775,0.5939097568971352,1.1682299235016285,1.0524740487215762
150,3,10000,PF 10000,PF,0.0864628375551772,0.0740395017375264,0.5862155118958811,0.5466596795110242,1.1677933471472044,1.0723591548223177
150,3,1000,PF 1000,PF,0.1570077764526884,0.136753122823901,0.6836193528926349,0.6308282328967452,1.1481110866833337,1.0836854110880143
150,3,20000,PF 20000,PF,0.0727226069874821,0.0634209580341187,0.548374715459197,0.5346991290426697,1.1466652230065555,1.025576227215878
50,3,1000,PF 1000,PF,0.1640448051727875,0.1477154152645257,0.6104981126027819,0.581251473942797,1.11054628170675,1.0503166701008024
150,2,1000,PF 1000,PF,0.0734293183752716,0.066524188206925,0.3886438435926795,0.3788906585400957,1.1037987888986789,1.0257414238982925
20,3,5000,PF 5000,PF,0.1674169229973693,0.1518781216183213,0.5069974746223784,0.5113998447215944,1.1023109926135242,0.9913915302387066
5,3,20000,PF 20000,PF,0.3587365943494373,0.3275355400553866,0.5131481816007809,0.4885893202115481,1.0952600572407334,1.0502648346439487
10,3,5000,PF 5000,PF,0.2338796588350024,0.218868584528939,0.5078476273791356,0.499460282040246,1.0685848740620818,1.0167928174481224
20,2,1000,PF 1000,PF,0.1515186120331857,0.1425788743768671,0.3630517364971353,0.3469457452891904,1.0627002962071992,1.0464222185359846
20,3,20000,PF 20000,PF,0.153061371771628,0.1441076656838328,0.4868920311560258,0.4791913507724324,1.0621320597020796,1.0160701572997515
5,2,20000,PF 20000,PF,0.2916525480007529,0.2750246225765688,0.3444206826833296,0.3197128640057599,1.060459769995884,1.0772812778566352
100,2,1000,PF 1000,PF,0.0789742223065087,0.074748453617719,0.3795200309168914,0.3800638721004499,1.056533192116606,0.9985690795061554
5,3,1000,PF 1000,PF,0.3626385696796181,0.3470518146310708,0.5327041260966401,0.5014219981533254,1.04491189612455,1.0623868279782753
20,3,1000,PF 1000,PF,0.1806207903940175,0.1731136397335878,0.5277931220891372,0.5027452580763108,1.04336544868436,1.0498221785495676
50,2,1000,PF 1000,PF,0.0989150203679077,0.0948995317547023,0.3526538695584269,0.3318265810492257,1.0423130498007587,1.0627655820800912
20,2,10000,PF 10000,PF,0.1378172606901949,0.1323001493483458,0.336356565422896,0.3515694109370246,1.0417014747830902,0.9567287567095716
10,2,1000,PF 1000,PF,0.2006888171851368,0.1941449833221525,0.3594427575104746,0.3540265301789945,1.0337059127205253,1.0152989306443834
5,2,10000,PF 10000,PF,0.2803573017741754,0.2712878813848994,0.349224038337954,0.3436570498160098,1.0334309824050283,1.016199255987691
100,2,5000,PF 5000,PF,0.063725615480784,0.0617899041663791,0.3409397644178811,0.3138159142257992,1.031327307276488,1.0864323603823531
10,3,1000,PF 1000,PF,0.2342904366810234,0.227665033176699,0.5129258115652758,0.5048788101735625,1.029101541909522,1.0159384811355956
5,3,10000,PF 10000,PF,0.3309588456338347,0.3221583057948265,0.4950525135426233,0.4783016860870415,1.027317438913442,1.0350214685476427
5,3,5000,PF 5000,PF,0.3416190822377314,0.3332039535577304,0.511308997390573,0.494513295410304,1.0252551885718937,1.0339641059930116
10,2,20000,PF 20000,PF,0.2036044204759829,0.1987729602240712,0.3340606745044965,0.3045803448358969,1.0243064260172274,1.0967899937354235
10,2,5000,PF 5000,PF,0.1987656639502205,0.1953184556283302,0.3406661587846044,0.3073707268669352,1.0176491684352142,1.1083233665647128
5,2,5000,PF 5000,PF,0.3051120845972155,0.3005402797102683,0.383716844205612,0.3609036755034312,1.0152119539229636,1.063211239592831
50,3,20000,PF 20000,PF,0.0936625979057508,0.0923272989790058,0.4839215108314724,0.4781294636367821,1.0144626664216467,1.0121139725434078
20,2,20000,PF 20000,PF,0.1364748852674106,0.134654069161742,0.3413466131536637,0.3262941737233618,1.013522176618974,1.0461314992497037
150,2,10000,PF 10000,PF,0.0499608900211355,0.0493728803173297,0.3355234163435464,0.3167436148682188,1.0119095685734059,1.0592902290489452
10,2,10000,PF 10000,PF,0.2000018096904969,0.1978831836831861,0.3539395334052272,0.3279016833899091,1.0107064479551873,1.0794074911300666
50,2,5000,PF 5000,PF,0.0856277145768438,0.0847901962699447,0.3413170892142803,0.3340768710987916,1.0098775370708273,1.0216723117996027
20,2,5000,PF 5000,PF,0.1370647015537864,0.1362911067270101,0.3516598681709066,0.316122124912142,1.005676047728674,1.1124177666104245
100,2,20000,PF 20000,PF,0.0595681724012824,0.0592404126683897,0.3383023399864982,0.3508819625437037,1.0055327050931837,0.9641485630494938
50,2,10000,PF 10000,PF,0.0852192203118806,0.0847794969106613,0.3240173841152938,0.3035061333943945,1.0051866715095357,1.0675810089618378
100,2,10000,PF 10000,PF,0.0604452964955317,0.0602897621892585,0.3433235573436375,0.332175651478217,1.0025797797275258,1.0335602739568994
50,2,20000,PF 20000,PF,0.0827948041253613,0.0826197464235626,0.319969232316162,0.3069791412084861,1.0021188361060955,1.0423158754583055
150,2,20000,PF 20000,PF,0.0482462900102868,0.048386175063262,0.3205952104558776,0.3093666877039985,0.9971089871684978,1.0362951901357347
