Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.810520 ± 0.019149,0.666720 ± 0.107459,0.914637 ± 0.049390,0.718926 ± 0.263065
Volatility State Correlation,0.842070 ± 0.041586,0.556320 ± 0.084446,0.701537 ± 0.168879,0.598972 ± 0.310294
Computation Time (s),321.658926 ± 84.187584,31.714707 ± 6.786599,326.920600 ± 192.254402,181.891524 ± 152.643584
Optimization Steps,325.000000 ± 89.000000,344.000000 ± 112.000000,259.000000 ± 99.000000,347.000000 ± 256.000000
