Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.743124 ± 0.029706,0.800525 ± 0.080164,0.867276 ± 0.043882
Volatility State Correlation,0.844105 ± 0.026434,0.371928 ± 0.188097,0.654954 ± 0.261910
Computation Time (s),444.136421 ± 253.047260,61.510818 ± 17.793996,252.429114 ± 88.126392
Optimization Steps,234.000000 ± 135.000000,332.000000 ± 112.000000,344.000000 ± 168.000000
