Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.823586 ± 0.014799,0.749243 ± 0.022154,0.830709 ± 0.012652,0.796985 ± 0.029947
Volatility State Correlation,0.829486 ± 0.015806,0.639066 ± 0.036038,0.647387 ± 0.074014,0.670868 ± 0.071064
Computation Time (s),2480.406847 ± 903.055255,138.696687 ± 63.177139,1336.519009 ± 643.366814,605.248136 ± 244.415171
Optimization Steps,450.000000 ± 169.000000,209.000000 ± 90.000000,232.000000 ± 114.000000,235.000000 ± 140.000000
