Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.761216 ± 0.049639,0.988873 ± 0.007234,0.986288 ± 0.003506,0.935560 ± 0.125364
Volatility State Correlation,0.873863 ± 0.011542,0.677253 ± 0.216329,0.814386 ± 0.020284,0.784171 ± 0.163692
Computation Time (s),291.893385 ± 75.648890,124.623935 ± 48.923777,744.175087 ± 339.550305,321.948232 ± 131.059498
Optimization Steps,93.000000 ± 25.000000,537.000000 ± 92.000000,250.000000 ± 106.000000,402.000000 ± 77.000000
