Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.819382 ± 0.029997,0.709334 ± 0.087449,0.779015 ± 0.038413,0.737682 ± 0.043693
Volatility State Correlation,0.825703 ± 0.013553,0.554512 ± 0.088338,0.654399 ± 0.042991,0.637448 ± 0.049156
Computation Time (s),1584.150651 ± 150.330338,56.317098 ± 7.476042,649.674950 ± 278.225086,304.477537 ± 75.558559
Optimization Steps,572.000000 ± 56.000000,190.000000 ± 93.000000,264.000000 ± 143.000000,186.000000 ± 47.000000
