Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.019482 ± 0.004775,0.685781 ± 0.014868,0.474795 ± 0.207286,0.511718 ± 0.110673
State Transition Matrix Rel. Frob. Diff,0.436211 ± 0.082037,0.384631 ± 0.006562,0.445354 ± 0.101798,0.800160 ± 0.467722
Volatility Covar. LogDet Diff,-1.978347 ± 1.121881,0.229187 ± 0.000365,0.236364 ± 0.011020,-0.241725 ± 0.083917
Volatility Trans. Matrix Rel. Frob. Diff,0.086692 ± 0.019225,0.128229 ± 0.005815,0.174436 ± 0.125617,0.287810 ± 0.117062
