Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.749912 ± 0.038027,0.913358 ± 0.049457,0.952134 ± 0.016215,0.947643 ± 0.018113
Volatility State Correlation,0.831936 ± 0.014425,0.735139 ± 0.066190,0.784920 ± 0.037309,0.764029 ± 0.056733
Computation Time (s),378.596133 ± 176.048439,63.978894 ± 7.536296,512.680845 ± 176.993567,217.150532 ± 166.736024
Optimization Steps,201.000000 ± 94.000000,246.000000 ± 75.000000,251.000000 ± 89.000000,186.000000 ± 112.000000
