Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.788102 ± 0.038086,0.958518 ± 0.044445,0.984071 ± 0.011147,0.952311 ± 0.066020
Volatility State Correlation,0.903190 ± 0.002752,0.762058 ± 0.133246,0.817061 ± 0.019486,0.730928 ± 0.193009
Computation Time (s),988.438813 ± 117.698369,87.768363 ± 41.597202,1235.215536 ± 231.126315,300.360646 ± 91.917298
Optimization Steps,285.000000 ± 34.000000,238.000000 ± 70.000000,364.000000 ± 42.000000,220.000000 ± 73.000000
