Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.717316 ± 0.059115,0.986187 ± 0.004832,0.900245 ± 0.185305
Volatility State Correlation,0.864941 ± 0.020887,0.607768 ± 0.342864,0.683309 ± 0.351015
Computation Time (s),326.799413 ± 76.283452,48.775683 ± 9.189875,360.338757 ± 204.691275
Optimization Steps,103.000000 ± 21.000000,245.000000 ± 104.000000,389.000000 ± 216.000000
