Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.203382 ± 0.410914,0.421632 ± 0.108142,0.502409 ± 0.121475,0.413593 ± 0.101684
State Transition Matrix Rel. Frob. Diff,0.544945 ± 0.160986,0.669152 ± 0.299797,0.530273 ± 0.216759,0.950181 ± 0.902908
Volatility Covar. LogDet Diff,-1.594778 ± 0.976183,-0.234016 ± 0.053256,-0.239902 ± 0.048346,-0.230896 ± 0.050831
Volatility Trans. Matrix Rel. Frob. Diff,0.103826 ± 0.034639,0.319521 ± 0.175247,0.265830 ± 0.167874,0.438649 ± 0.111156
