Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.829578 ± 0.028879,0.942508 ± 0.055852,0.981604 ± 0.006525,0.980188 ± 0.009318
Volatility State Correlation,0.891119 ± 0.012562,0.801309 ± 0.031549,0.773696 ± 0.102049,0.809062 ± 0.050847
Computation Time (s),1412.499224 ± 189.886343,81.814844 ± 20.435398,1350.347671 ± 602.959791,428.647700 ± 128.550319
Optimization Steps,388.000000 ± 55.000000,284.000000 ± 88.000000,385.000000 ± 147.000000,267.000000 ± 91.000000
