Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.817155 ± 0.072723,0.750527 ± 0.032211,0.819051 ± 0.035049,0.791907 ± 0.028324
Volatility State Correlation,0.807690 ± 0.057713,0.640321 ± 0.095090,0.665723 ± 0.053660,0.596792 ± 0.054353
Computation Time (s),609.869673 ± 305.167467,42.959907 ± 11.754585,626.473659 ± 322.633853,291.640284 ± 109.861857
Optimization Steps,412.000000 ± 210.000000,168.000000 ± 57.000000,419.000000 ± 158.000000,293.000000 ± 70.000000
