Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.012414 ± 0.008916,0.290642 ± 0.141646,0.364592 ± 0.139388,0.186187 ± 0.055927
State Transition Matrix Rel. Frob. Diff,0.322090 ± 0.072485,0.322733 ± 0.046726,0.339962 ± 0.081423,0.389265 ± 0.217195
Volatility Covar. LogDet Diff,-0.175207 ± 0.066358,0.366063 ± 0.058767,0.383406 ± 0.021628,-0.099135 ± 0.079581
Volatility Trans. Matrix Rel. Frob. Diff,0.034634 ± 0.008569,0.104698 ± 0.099314,0.154705 ± 0.175866,0.206198 ± 0.082785
