Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.759048 ± 0.075395,0.905888 ± 0.033446,0.943528 ± 0.028917,0.915845 ± 0.067116
Volatility State Correlation,0.817598 ± 0.048471,0.626774 ± 0.145393,0.778372 ± 0.029310,0.707569 ± 0.100476
Computation Time (s),175.234678 ± 90.844587,37.490866 ± 6.094514,360.022364 ± 206.746296,129.702129 ± 40.204232
Optimization Steps,160.000000 ± 94.000000,206.000000 ± 50.000000,272.000000 ± 109.000000,234.000000 ± 109.000000
