Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.829711 ± 0.049729,0.779835 ± 0.095382,0.876919 ± 0.055505,0.873081 ± 0.054401
Volatility State Correlation,0.859519 ± 0.029721,0.560599 ± 0.146097,0.718215 ± 0.120766,0.476640 ± 0.245651
Computation Time (s),685.737317 ± 83.170765,43.686779 ± 16.673193,509.895711 ± 229.749934,236.955661 ± 105.497978
Optimization Steps,358.000000 ± 32.000000,243.000000 ± 59.000000,279.000000 ± 102.000000,324.000000 ± 151.000000
