Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.025701 ± 0.007864,0.525059 ± 0.031621,0.543547 ± 0.018592,0.546961 ± 0.031865
State Transition Matrix Rel. Frob. Diff,0.498093 ± 0.056783,0.705675 ± 0.207078,1.127364 ± 0.247876,1.085497 ± 0.733328
Volatility Covar. LogDet Diff,-4.097400 ± 1.824014,-0.382746 ± 0.015120,-0.381757 ± 0.008481,-0.392113 ± 0.011032
Volatility Trans. Matrix Rel. Frob. Diff,0.167095 ± 0.016598,0.234085 ± 0.147678,0.160387 ± 0.074749,0.144306 ± 0.038011
