Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.023531 ± 0.002600,0.613111 ± 0.029183,0.617279 ± 0.019253,0.601971 ± 0.021853
State Transition Matrix Rel. Frob. Diff,0.386273 ± 0.039608,1.208438 ± 0.668300,1.111539 ± 0.231715,1.066941 ± 0.523078
Volatility Covar. LogDet Diff,-4.397866 ± 0.584821,-0.376388 ± 0.010658,-0.398942 ± 0.015154,-0.389647 ± 0.014593
Volatility Trans. Matrix Rel. Frob. Diff,0.135753 ± 0.017272,0.152264 ± 0.036554,0.192664 ± 0.161938,0.200255 ± 0.075503
