Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.793687 ± 0.031357,0.907219 ± 0.020676,0.952194 ± 0.013429,0.932649 ± 0.022426
Volatility State Correlation,0.870854 ± 0.022828,0.756104 ± 0.015726,0.795909 ± 0.015922,0.777395 ± 0.020849
Computation Time (s),1757.878422 ± 897.867802,99.530141 ± 44.783385,1275.975226 ± 592.548466,553.525025 ± 130.418219
Optimization Steps,428.000000 ± 216.000000,207.000000 ± 78.000000,361.000000 ± 144.000000,305.000000 ± 68.000000
