filter_config,N,K,config_T,config_fix_mu,results_steps_mean,results_steps_median,results_steps_std,timing_total_script_duration_s_mean,timing_total_script_duration_s_median,timing_total_script_duration_s_std,accuracy_state_estimation_factor_rmse_mean_mean,accuracy_state_estimation_factor_rmse_mean_median,accuracy_state_estimation_factor_rmse_mean_std,accuracy_state_estimation_factor_correlation_mean_mean,accuracy_state_estimation_factor_correlation_mean_median,accuracy_state_estimation_factor_correlation_mean_std,accuracy_state_estimation_volatility_rmse_mean_mean,accuracy_state_estimation_volatility_rmse_mean_median,accuracy_state_estimation_volatility_rmse_mean_std,accuracy_state_estimation_volatility_correlation_mean_mean,accuracy_state_estimation_volatility_correlation_mean_median,accuracy_state_estimation_volatility_correlation_mean_std,loss_diff_mean,loss_diff_median,loss_diff_std,success_rate
PF-5000,5,3,500,0,234.4,241.0,109.47282767883544,129.70212869644166,134.67550039291382,40.2042317678364,1.1113308268050215,0.8303145176555297,0.7516886812729721,0.9158450701041458,0.9428151768203672,0.06711626866033461,1.9114244468819965,1.5895132525389075,0.6758252469966264,0.7075689385447922,0.7200176920145781,0.10047586020058866,-10464.953857421875,-4788.337890625,14668.4912990816,100.0
PF-5000,15,2,2000,0,267.0,250.0,91.8313671900838,428.64770045280454,384.3083550930023,128.55031884358505,1.1822313480997315,1.044268129143794,0.6248549483854028,0.9801883038216698,0.9814606361239464,0.009318443895944307,2.0005759656964286,2.07809746415541,0.40740781471681264,0.8090622995329483,0.8149434047018994,0.05084700556246989,-73458.38046875,-22061.55859375,178243.48930622084,100.0
PF-5000,10,5,1000,0,186.8,214.0,47.50999894758997,304.4775369167328,276.37455201148987,75.55855941536578,1.609968187394492,1.6183528555290145,0.42619959624967957,0.7376822202117873,0.7526703586099996,0.04369277623999576,2.0233293959501566,1.9772541027811958,0.1155479158589266,0.6374481714466482,0.6398142311724044,0.04915595117138605,-52475.62734375,-59456.5625,62951.990500727414,100.0
BIF,5,3,500,0,160.8,187.0,94.89309774688569,175.23467826843262,198.2428274154663,90.84458706613992,2.2047062934409345,2.005015298460571,0.7571340585747484,0.7590484474221065,0.7189489045172591,0.07539485382067165,1.5920175611417569,1.6261953245641454,0.10868999804152718,0.8175979638062352,0.8242980959165079,0.04847071773736956,-24.192870755266437,-54.89541182390053,89.56326947497473,100.0
PF-1000,15,2,500,0,260.4,230.0,80.24524908055305,35.59656500816345,33.65971922874451,8.601350347160238,2.7728125059992434,3.2472638569586847,1.2821240980803328,0.9054644161787172,0.978262267954076,0.15075341721429963,2.260146110334621,2.3912765496404016,0.20615845587571788,0.7499931037425809,0.7841142443097882,0.11451967020247697,6837.06123046875,6194.17578125,166260.68926802115,100.0
PF-5000,5,2,1000,1,236.0,195.0,132.25921517988832,122.35613870620728,78.51124858856201,82.12381065067218,5.538836441759541,4.900579396760285,4.43055317567509,0.9800465888667358,0.9818727915526826,0.009549416395296646,1.9255189117011942,1.6373864850339221,0.8879029206237015,0.7766458472978487,0.835430557330253,0.18456765517113435,18175023.916992188,287882.3916015625,26329050.520849176,100.0
PF-5000,5,2,500,1,244.0,262.0,44.04543109109048,51.03985047340393,41.68425726890564,20.62463712044531,18.666794399721198,4.3533829336975405,30.49192312197274,0.9690672872022817,0.9799691624103722,0.03041349936211253,2.3333043684266928,1.7727283811035948,1.0538292561863567,0.7030436591761704,0.6402673805789707,0.10998207549975025,246321309.61796874,964365.9521484375,536476366.1059767,100.0
BIF,15,5,2000,1,497.4,512.0,40.75904807524337,2689.827355527878,2774.876667022705,227.2575755811462,1.2869602746839117,1.181437976755364,0.2781945420821591,0.8049968720614491,0.8102099889776528,0.012167160929850934,1.473020181680683,1.4712564391806073,0.020759260608333188,0.8449254068484737,0.8481839751407323,0.02014157573328193,-187.79991602537217,-178.081745767553,39.35414220762313,100.0
PF-5000,5,2,2000,1,389.0,454.0,216.82366107046528,360.3387571811676,389.4718656539917,204.69127452758332,8.827589489674788,4.984446742858796,7.219413027590082,0.9002454064778178,0.9882480696394131,0.18530527084744192,3.080658312557671,1.8394795936903887,2.7829708349346567,0.683308518889193,0.8183392480130505,0.3510153832593757,6075414.0046875,3560606.96875,8365554.789144577,100.0
PF-1000,50,5,500,0,374.4,388.0,99.3493834907897,89.89873695373535,90.0678300857544,15.011472330670996,3.7927282702987895,3.8479006543810796,0.5476688166200652,0.6754010821753896,0.6824028386707619,0.03502049263057404,2.8801737213109004,2.7808372870144513,0.16734649669055637,0.5486575476648974,0.5857405261241201,0.07192418841810844,-1945790.525,-1966435.0625,143745.62350726838,100.0
