Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.755771 ± 0.055174,0.688742 ± 0.257595,0.778151 ± 0.071060
Volatility State Correlation,0.839202 ± 0.041952,0.534528 ± 0.138659,0.533857 ± 0.222441
Computation Time (s),215.205021 ± 112.749959,36.855511 ± 21.236677,93.820275 ± 40.252639
Optimization Steps,208.000000 ± 120.000000,331.000000 ± 191.000000,209.000000 ± 94.000000
