Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.832184 ± 0.027277,0.622679 ± 0.044685,0.740332 ± 0.071819,0.684286 ± 0.072433
Volatility State Correlation,0.808313 ± 0.032240,0.563433 ± 0.020728,0.597034 ± 0.070968,0.612821 ± 0.079820
Computation Time (s),4828.008491 ± 1295.527587,104.059713 ± 21.671797,819.424449 ± 262.807579,557.230280 ± 341.028763
Optimization Steps,829.000000 ± 225.000000,278.000000 ± 43.000000,208.000000 ± 69.000000,264.000000 ± 169.000000
