Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.797905 ± 0.025549,0.906586 ± 0.039548,0.950037 ± 0.008200,0.937549 ± 0.013417
Volatility State Correlation,0.843281 ± 0.017906,0.683880 ± 0.210967,0.809143 ± 0.010079,0.797590 ± 0.029233
Computation Time (s),635.056161 ± 279.006092,113.471626 ± 33.544246,697.412364 ± 312.348152,532.200207 ± 257.423766
Optimization Steps,169.000000 ± 71.000000,248.000000 ± 90.000000,201.000000 ± 63.000000,291.000000 ± 84.000000
