Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.170135 ± 0.359781,0.498622 ± 0.132564,0.429787 ± 0.075682,0.381022 ± 0.109258
State Transition Matrix Rel. Frob. Diff,0.304142 ± 0.039312,0.369429 ± 0.136958,0.340850 ± 0.061512,0.432781 ± 0.213055
Volatility Covar. LogDet Diff,-1.676864 ± 0.833142,-0.222159 ± 0.087805,-0.258052 ± 0.067462,-0.212654 ± 0.096397
Volatility Trans. Matrix Rel. Frob. Diff,0.087840 ± 0.030745,0.188479 ± 0.042332,0.369927 ± 0.156301,0.372746 ± 0.121730
