Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.050122 ± 0.059697,0.421521 ± 0.138175,0.448474 ± 0.102364,0.253344 ± 0.134949
State Transition Matrix Rel. Frob. Diff,0.357384 ± 0.128717,0.290476 ± 0.010449,0.357715 ± 0.125018,0.285310 ± 0.054713
Volatility Covar. LogDet Diff,-0.381953 ± 0.670181,0.391480 ± 0.002057,0.369889 ± 0.045909,-0.077459 ± 0.050496
Volatility Trans. Matrix Rel. Frob. Diff,0.058281 ± 0.032918,0.113592 ± 0.142648,0.221084 ± 0.303871,0.212371 ± 0.036643
