Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.871814 ± 0.043292,0.691744 ± 0.126343,0.737162 ± 0.106210,0.731890 ± 0.142624
Volatility State Correlation,0.785507 ± 0.032680,0.392590 ± 0.147668,0.698813 ± 0.038580,0.292527 ± 0.172518
Computation Time (s),977.353100 ± 213.383233,40.211924 ± 3.287990,335.012392 ± 112.504886,156.971801 ± 104.400540
Optimization Steps,677.000000 ± 126.000000,251.000000 ± 13.000000,215.000000 ± 60.000000,307.000000 ± 127.000000
