Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.118800 ± 0.239068,0.618246 ± 0.077325,0.498394 ± 0.114709,0.374196 ± 0.040599
State Transition Matrix Rel. Frob. Diff,0.357277 ± 0.078055,0.387203 ± 0.010517,0.398392 ± 0.065951,0.500494 ± 0.147131
Volatility Covar. LogDet Diff,-1.366614 ± 0.665662,0.228306 ± 0.001495,0.244125 ± 0.025646,-0.179134 ± 0.047328
Volatility Trans. Matrix Rel. Frob. Diff,0.081353 ± 0.033185,0.134132 ± 0.036160,0.153923 ± 0.045923,0.328720 ± 0.094355
