Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.774142 ± 0.058677,0.976903 ± 0.011945,0.976800 ± 0.010409,0.837137 ± 0.245024
Volatility State Correlation,0.858074 ± 0.024838,0.786069 ± 0.089681,0.814054 ± 0.025224,0.549154 ± 0.222686
Computation Time (s),121.792749 ± 34.630424,28.717781 ± 9.489943,285.150959 ± 193.133102,67.443455 ± 12.434926
Optimization Steps,125.000000 ± 40.000000,252.000000 ± 36.000000,271.000000 ± 156.000000,262.000000 ± 107.000000
