Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.214287 ± 0.462665,0.229687 ± 0.129242,0.426996 ± 0.385255,0.221938 ± 0.160017
State Transition Matrix Rel. Frob. Diff,0.301327 ± 0.044850,0.438877 ± 0.198316,1.092649 ± 1.132409,0.392804 ± 0.226777
Volatility Covar. LogDet Diff,-1.103445 ± 0.561165,0.216626 ± 0.233676,-0.018005 ± 0.070464,-0.090205 ± 0.078670
Volatility Trans. Matrix Rel. Frob. Diff,0.070242 ± 0.066105,0.270705 ± 0.148535,0.205726 ± 0.063764,0.224778 ± 0.098249
