Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.802959 ± 0.066058,0.730974 ± 0.209916,0.779141 ± 0.074706
Volatility State Correlation,0.761084 ± 0.068582,0.338780 ± 0.140613,0.334764 ± 0.190016
Computation Time (s),646.394676 ± 356.335525,58.918615 ± 22.387753,190.739869 ± 57.056623
Optimization Steps,438.000000 ± 243.000000,447.000000 ± 159.000000,371.000000 ± 159.000000
