Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.028782 ± 0.032759,0.291030 ± 0.104192,0.388383 ± 0.117436,0.243682 ± 0.097168
State Transition Matrix Rel. Frob. Diff,0.257898 ± 0.033329,0.319274 ± 0.022798,0.308045 ± 0.013739,0.270228 ± 0.090503
Volatility Covar. LogDet Diff,-0.275928 ± 0.297896,0.417736 ± 0.018350,0.414008 ± 0.049248,-0.091193 ± 0.034780
Volatility Trans. Matrix Rel. Frob. Diff,0.038660 ± 0.005928,0.137258 ± 0.083817,0.113663 ± 0.118748,0.230539 ± 0.040611
