Component,Eigenvalue,Proportion_Variance,Cumulative_Variance
PC54,0.1214161640182442,0.001276333089166253,0.9641770902937067
PC55,0.11995868370640625,0.0012610119796266073,0.9654381022733333
PC56,0.11784499720309967,0.0012387927961586718,0.966676895069492
PC57,0.11694975998562035,0.0012293820155384713,0.9679062770850304
PC58,0.11468320319917231,0.001205555851630153,0.9691118329366606
PC59,0.11247831985587772,0.0011823780021934375,0.970294210938854
PC60,0.10782050335579421,0.0011334147906606811,0.9714276257295147
PC61,0.10757628076619537,0.0011308475099798317,0.9725584732394945
PC62,0.10576501149375081,0.0011118073523162797,0.9736702805918108
PC63,0.10356897483746257,0.0010887224997177282,0.9747590030915285
PC64,0.10165174865803871,0.0010685685174864434,0.975827571609015
PC65,0.10033560786765053,0.00105473317641504,0.97688230478543
PC66,0.09788901279230532,0.0010290144405638146,0.9779113192259938
PC67,0.09635082825218066,0.001012844963940339,0.9789241641899342
PC68,0.0953758801241213,0.0010025962580441795,0.9799267604479784
PC69,0.09466898432155156,0.0009951653322633506,0.9809219257802418
PC70,0.0912655056979891,0.0009593877863274566,0.9818813135665693
PC71,0.09006894646996527,0.0009468094929163375,0.9828281230594856
PC72,0.08814837159378541,0.0009266203090089839,0.9837547433684947
PC73,0.08666272695868721,0.0009110031346249107,0.9846657465031196
PC74,0.08484885066666,0.000891935571834666,0.9855576820749542
PC75,0.0822825756180971,0.0008649587538231005,0.9864226408287773
PC76,0.08181238437962493,0.0008600160788444386,0.9872826569076217
PC77,0.0789857357139384,0.0008303021997029328,0.9881129591073247
PC78,0.07799822010172668,0.0008199213837537095,0.9889328804910784
PC79,0.0773022195514204,0.0008126049894365547,0.989745485480515
PC80,0.07576882550305172,0.0007964858707138659,0.9905419713512289
PC81,0.07422816073989906,0.0007802903218557356,0.9913222616730847
PC82,0.07280424982850565,0.0007653220956155852,0.9920875837687003
PC83,0.07076708092443079,0.0007439072691671018,0.9928314910378674
PC84,0.06928253872425665,0.0007283016836368159,0.9935597927215042
PC85,0.06854090675885721,0.0007205056094890569,0.9942802983309933
PC86,0.06465250242832411,0.0006796304990682483,0.9949599288300616
PC87,0.06367256564709131,0.0006693293521880803,0.9956292581822497
PC88,0.06096428731641493,0.0006408597882213352,0.996270117970471
PC89,0.05842106464107995,0.0006141252979671364,0.9968842432684382
PC90,0.05631302797974405,0.000591965505934551,0.9974762087743727
PC91,0.055934337277663115,0.0005879846893972005,0.99806419346377
PC92,0.05450056260488563,0.0005729127747796423,0.9986371062385496
PC93,0.05264969441435777,0.000553456351210693,0.9991905625897604
PC94,0.03971899865156217,0.0004175281986335947,0.999608090788394
PC95,0.037281892572275606,0.0003919092116070051,1.0000000000000009
