Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.039663 ± 0.017911,0.609622 ± 0.025870,0.627495 ± 0.034516,0.565064 ± 0.052190
State Transition Matrix Rel. Frob. Diff,0.615764 ± 0.033284,0.578517 ± 0.157289,0.500931 ± 0.120178,1.470755 ± 0.576023
Volatility Covar. LogDet Diff,-12.869568 ± 12.638689,0.981742 ± 0.007315,0.986294 ± 0.004487,-0.382979 ± 0.017543
Volatility Trans. Matrix Rel. Frob. Diff,0.254700 ± 0.095514,0.181455 ± 0.049619,0.162085 ± 0.030718,0.158501 ± 0.065751
