Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.761099 ± 0.020321,0.934582 ± 0.109167,0.980047 ± 0.009549
Volatility State Correlation,0.862790 ± 0.015177,0.781438 ± 0.066403,0.776646 ± 0.184568
Computation Time (s),159.263584 ± 67.781057,34.500629 ± 12.640287,122.356139 ± 82.123811
Optimization Steps,87.000000 ± 34.000000,238.000000 ± 80.000000,236.000000 ± 132.000000
