Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.810587 ± 0.045071,0.905464 ± 0.150753,0.982376 ± 0.010227,0.985610 ± 0.013199
Volatility State Correlation,0.896240 ± 0.022936,0.749993 ± 0.114520,0.760404 ± 0.058403,0.733721 ± 0.093506
Computation Time (s),327.741528 ± 56.905915,35.596565 ± 8.601350,251.675036 ± 110.325050,170.912230 ± 74.280290
Optimization Steps,327.000000 ± 54.000000,260.000000 ± 80.000000,239.000000 ± 160.000000,268.000000 ± 134.000000
