Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.784688 ± 0.047251,0.858171 ± 0.093416,0.847306 ± 0.079108,0.945349 ± 0.025738
Volatility State Correlation,0.846283 ± 0.034036,0.645968 ± 0.100039,0.696525 ± 0.076348,0.781118 ± 0.016801
Computation Time (s),366.301383 ± 174.804834,50.955027 ± 9.381285,288.214349 ± 138.894508,142.273396 ± 67.748469
Optimization Steps,342.000000 ± 168.000000,320.000000 ± 142.000000,264.000000 ± 94.000000,212.000000 ± 119.000000
