Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.173595 ± 0.363591,0.507900 ± 0.102650,0.457550 ± 0.067806,0.333031 ± 0.078479
State Transition Matrix Rel. Frob. Diff,0.356463 ± 0.123920,0.399737 ± 0.131421,0.320524 ± 0.037150,0.603370 ± 0.460546
Volatility Covar. LogDet Diff,-1.441683 ± 0.655009,-0.267810 ± 0.025012,-0.255587 ± 0.070384,-0.218986 ± 0.067557
Volatility Trans. Matrix Rel. Frob. Diff,0.084175 ± 0.045731,0.336438 ± 0.195615,0.263969 ± 0.121652,0.394114 ± 0.130960
