Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.017269 ± 0.010888,0.313325 ± 0.123227,0.312275 ± 0.277759,0.283678 ± 0.176855
State Transition Matrix Rel. Frob. Diff,0.418658 ± 0.168230,0.570549 ± 0.229728,1.115657 ± 0.620234,0.845538 ± 0.753706
Volatility Covar. LogDet Diff,-1.595435 ± 1.202439,-0.000269 ± 0.100504,-0.116437 ± 0.077445,0.129260 ± 0.347291
Volatility Trans. Matrix Rel. Frob. Diff,0.062296 ± 0.022132,0.294703 ± 0.078820,0.263810 ± 0.119446,0.433694 ± 0.287943
