Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.018000 ± 0.005388,0.614007 ± 0.062778,0.566862 ± 0.045983,0.590614 ± 0.012817
State Transition Matrix Rel. Frob. Diff,0.377580 ± 0.044905,0.542158 ± 0.283099,0.595524 ± 0.177917,0.469591 ± 0.060759
Volatility Covar. LogDet Diff,-4.269494 ± 1.031349,0.983729 ± 0.005121,0.987057 ± 0.005009,-0.388901 ± 0.003071
Volatility Trans. Matrix Rel. Frob. Diff,0.126587 ± 0.025044,0.179614 ± 0.070965,0.281365 ± 0.122380,0.117771 ± 0.003210
