Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.004320 ± 0.000698,0.496031 ± 0.171239,0.326919 ± 0.128056,0.397636 ± 0.127428
State Transition Matrix Rel. Frob. Diff,0.261505 ± 0.113594,0.427465 ± 0.257503,0.430712 ± 0.237303,0.431338 ± 0.142139
Volatility Covar. LogDet Diff,-0.988023 ± 0.116340,0.106143 ± 0.269019,-0.021361 ± 0.132223,0.043847 ± 0.399660
Volatility Trans. Matrix Rel. Frob. Diff,0.036223 ± 0.009276,0.223375 ± 0.127789,0.408843 ± 0.186477,0.290817 ± 0.112755
