Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.031965 ± 0.039412,0.353309 ± 0.106514,0.364445 ± 0.034976,0.311186 ± 0.072210
State Transition Matrix Rel. Frob. Diff,0.456044 ± 0.150278,0.546111 ± 0.255678,0.463770 ± 0.101470,0.530112 ± 0.210657
Volatility Covar. LogDet Diff,-0.941885 ± 1.510698,-0.218121 ± 0.088059,-0.248395 ± 0.020626,-0.260647 ± 0.043451
Volatility Trans. Matrix Rel. Frob. Diff,0.147052 ± 0.093869,0.312610 ± 0.203457,0.275816 ± 0.159273,0.205030 ± 0.060507
