Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.804997 ± 0.012167,0.869100 ± 0.124033,0.817452 ± 0.066206
Volatility State Correlation,0.844925 ± 0.020142,0.476441 ± 0.204689,0.454722 ± 0.209473
Computation Time (s),2689.827356 ± 227.257576,70.127317 ± 14.002500,470.884700 ± 174.786520
Optimization Steps,497.000000 ± 40.000000,146.000000 ± 60.000000,262.000000 ± 93.000000
