Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.864730 ± 0.032552,0.675401 ± 0.035020,0.711011 ± 0.033587,0.702109 ± 0.089921
Volatility State Correlation,0.795420 ± 0.046998,0.548658 ± 0.071924,0.514688 ± 0.100028,0.621680 ± 0.094271
Computation Time (s),2713.566356 ± 1297.709660,89.898737 ± 15.011472,435.036511 ± 161.240069,247.014450 ± 119.768740
Optimization Steps,919.000000 ± 437.000000,374.000000 ± 99.000000,270.000000 ± 146.000000,246.000000 ± 143.000000
