Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.764409 ± 0.033114,0.974445 ± 0.016275,0.969067 ± 0.030413
Volatility State Correlation,0.852619 ± 0.034951,0.758266 ± 0.086299,0.703044 ± 0.109982
Computation Time (s),79.492803 ± 33.934196,26.170962 ± 5.403749,51.039850 ± 20.624637
Optimization Steps,71.000000 ± 39.000000,260.000000 ± 119.000000,244.000000 ± 44.000000
