Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.007861 ± 0.002570,0.495513 ± 0.104702,0.332433 ± 0.155209,0.434940 ± 0.266268
State Transition Matrix Rel. Frob. Diff,0.248459 ± 0.095580,0.428870 ± 0.361685,0.382178 ± 0.204182,0.658823 ± 0.415050
Volatility Covar. LogDet Diff,-1.163016 ± 0.239932,-0.098209 ± 0.158259,0.169262 ± 0.284627,0.119570 ± 0.262195
Volatility Trans. Matrix Rel. Frob. Diff,0.031353 ± 0.018112,0.332147 ± 0.196208,0.335512 ± 0.039943,0.384207 ± 0.196127
