Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.841004 ± 0.026080,0.798763 ± 0.131243,0.780345 ± 0.048124,0.715334 ± 0.030158
Volatility State Correlation,0.810346 ± 0.048972,0.570604 ± 0.155873,0.614646 ± 0.057721,0.606443 ± 0.123951
Computation Time (s),1872.562925 ± 266.605850,60.124978 ± 26.189745,1104.552296 ± 556.658689,162.342321 ± 67.480784
Optimization Steps,673.000000 ± 92.000000,231.000000 ± 98.000000,374.000000 ± 151.000000,197.000000 ± 48.000000
