Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.767900 ± 0.051934,0.844431 ± 0.056330,0.888744 ± 0.045704
Volatility State Correlation,0.860711 ± 0.022425,0.657756 ± 0.232847,0.675507 ± 0.317118
Computation Time (s),693.014923 ± 499.882052,77.360447 ± 19.879507,564.166217 ± 355.476179
Optimization Steps,187.000000 ± 132.000000,231.000000 ± 70.000000,437.000000 ± 219.000000
