Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.018830 ± 0.004875,0.552137 ± 0.015631,0.539761 ± 0.025538,0.489763 ± 0.071250
State Transition Matrix Rel. Frob. Diff,0.371382 ± 0.037023,0.617864 ± 0.086256,0.617886 ± 0.095930,1.280156 ± 0.698753
Volatility Covar. LogDet Diff,-3.392360 ± 0.159934,-0.382834 ± 0.002372,-0.386686 ± 0.003703,-0.385613 ± 0.005713
Volatility Trans. Matrix Rel. Frob. Diff,0.114589 ± 0.008912,0.135489 ± 0.013326,0.192954 ± 0.104942,0.199436 ± 0.154182
