Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.082536 ± 0.127578,0.535263 ± 0.042753,0.512472 ± 0.021081,0.482388 ± 0.056102
State Transition Matrix Rel. Frob. Diff,0.569324 ± 0.125880,0.547073 ± 0.046284,0.588027 ± 0.077761,1.192330 ± 0.502977
Volatility Covar. LogDet Diff,-5.162013 ± 3.161791,-0.374627 ± 0.023390,-0.377524 ± 0.014608,-0.363719 ± 0.052384
Volatility Trans. Matrix Rel. Frob. Diff,0.254930 ± 0.121073,0.160978 ± 0.066989,0.182132 ± 0.050699,0.248704 ± 0.104493
