Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.012379 ± 0.003885,0.351956 ± 0.165535,0.760319 ± 0.454427,0.736070 ± 0.410081
State Transition Matrix Rel. Frob. Diff,0.333398 ± 0.118064,1.187433 ± 1.479576,1.331849 ± 0.787899,1.354484 ± 1.118612
Volatility Covar. LogDet Diff,-1.159971 ± 0.677466,0.098505 ± 0.238833,-0.018608 ± 0.063358,-0.044071 ± 0.107209
Volatility Trans. Matrix Rel. Frob. Diff,0.046283 ± 0.015730,0.463799 ± 0.462208,0.420695 ± 0.321645,0.253100 ± 0.124507
