Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.778951 ± 0.031100,0.981243 ± 0.015753,0.989565 ± 0.003983,0.992729 ± 0.001514
Volatility State Correlation,0.848972 ± 0.025080,0.795596 ± 0.082035,0.813499 ± 0.040030,0.680969 ± 0.171329
Computation Time (s),137.094055 ± 34.404837,70.396935 ± 53.596368,529.427129 ± 115.509267,137.002034 ± 59.258835
Optimization Steps,76.000000 ± 21.000000,542.000000 ± 461.000000,291.000000 ± 59.000000,268.000000 ± 87.000000
