Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.794733 ± 0.049594,0.888638 ± 0.040875,0.946528 ± 0.036228,0.934187 ± 0.024628
Volatility State Correlation,0.855324 ± 0.018037,0.698508 ± 0.104583,0.626805 ± 0.198983,0.809716 ± 0.015589
Computation Time (s),768.419897 ± 399.226293,63.239509 ± 15.119254,649.528305 ± 162.868546,280.245280 ± 123.120543
Optimization Steps,365.000000 ± 190.000000,241.000000 ± 96.000000,303.000000 ± 106.000000,276.000000 ± 76.000000
