Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.796590 ± 0.022351,0.966502 ± 0.021345,0.993294 ± 0.003765,0.969967 ± 0.024574
Volatility State Correlation,0.886100 ± 0.009043,0.819075 ± 0.047186,0.822198 ± 0.043650,0.836291 ± 0.015079
Computation Time (s),681.574521 ± 64.271326,70.339096 ± 15.368898,1017.549201 ± 578.597542,290.322325 ± 76.620697
Optimization Steps,368.000000 ± 35.000000,311.000000 ± 92.000000,438.000000 ± 217.000000,315.000000 ± 116.000000
