Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.770726 ± 0.045415,0.794438 ± 0.140575,0.945299 ± 0.006670,0.912723 ± 0.021145
Volatility State Correlation,0.844942 ± 0.026269,0.574466 ± 0.199160,0.798953 ± 0.009703,0.777577 ± 0.094889
Computation Time (s),1198.240061 ± 603.515246,71.163216 ± 25.964852,1702.852959 ± 644.717965,357.607411 ± 148.410016
Optimization Steps,327.000000 ± 161.000000,209.000000 ± 80.000000,495.000000 ± 250.000000,309.000000 ± 169.000000
