Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.833348 ± 0.052386,0.980928 ± 0.008974,0.989103 ± 0.005840,0.989869 ± 0.009280
Volatility State Correlation,0.871693 ± 0.034366,0.830679 ± 0.054889,0.771859 ± 0.065672,0.839195 ± 0.038361
Computation Time (s),244.178053 ± 30.035270,48.544950 ± 18.758192,271.123218 ± 143.462278,189.444317 ± 108.158961
Optimization Steps,259.000000 ± 31.000000,400.000000 ± 206.000000,291.000000 ± 145.000000,376.000000 ± 317.000000
