Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.076041 ± 0.140439,0.374285 ± 0.139577,0.356953 ± 0.149271,0.288127 ± 0.072841
State Transition Matrix Rel. Frob. Diff,0.476610 ± 0.101188,0.399945 ± 0.133779,0.394978 ± 0.113884,0.536739 ± 0.215682
Volatility Covar. LogDet Diff,-0.885618 ± 0.347055,-0.225730 ± 0.068146,-0.136467 ± 0.263299,-0.225139 ± 0.034458
Volatility Trans. Matrix Rel. Frob. Diff,0.093004 ± 0.036419,0.215066 ± 0.070576,0.280254 ± 0.168956,0.245565 ± 0.083389
