Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.011363 ± 0.004096,0.335955 ± 0.173173,0.347692 ± 0.141834,0.311561 ± 0.171448
State Transition Matrix Rel. Frob. Diff,0.242681 ± 0.099167,0.575566 ± 0.448811,0.825908 ± 0.760311,0.880077 ± 0.810620
Volatility Covar. LogDet Diff,-0.901632 ± 0.253359,0.055137 ± 0.292609,0.141603 ± 0.283691,0.080070 ± 0.248604
Volatility Trans. Matrix Rel. Frob. Diff,0.027636 ± 0.010584,0.190161 ± 0.084327,0.260783 ± 0.170174,0.255556 ± 0.127088
