Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.011401 ± 0.004385,0.635779 ± 0.079987,0.519873 ± 0.052767,0.405774 ± 0.168612
State Transition Matrix Rel. Frob. Diff,0.403984 ± 0.050809,0.394982 ± 0.020135,0.396126 ± 0.013586,0.582801 ± 0.289493
Volatility Covar. LogDet Diff,-2.158260 ± 0.893616,0.232110 ± 0.005992,0.225379 ± 0.011283,-0.236493 ± 0.079297
Volatility Trans. Matrix Rel. Frob. Diff,0.077201 ± 0.014111,0.139888 ± 0.024298,0.196371 ± 0.092560,0.376510 ± 0.165777
