Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.071152 ± 0.143898,0.333664 ± 0.124265,0.362420 ± 0.121287,0.341673 ± 0.105276
State Transition Matrix Rel. Frob. Diff,0.374394 ± 0.113505,0.419578 ± 0.109735,0.362864 ± 0.090492,0.389485 ± 0.186583
Volatility Covar. LogDet Diff,-0.787890 ± 0.525769,-0.228982 ± 0.055351,-0.247263 ± 0.065298,-0.265066 ± 0.030770
Volatility Trans. Matrix Rel. Frob. Diff,0.096670 ± 0.049073,0.258908 ± 0.107036,0.336268 ± 0.185335,0.214917 ± 0.049337
