Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-10000 (Mean ± Std),PF-5000 (Mean ± Std)
Factor State Correlation,0.818050 ± 0.031385,0.822766 ± 0.233388,0.797834 ± 0.020236,0.774384 ± 0.153040
Volatility State Correlation,0.831110 ± 0.024317,0.437551 ± 0.347869,0.699872 ± 0.015272,0.389914 ± 0.278939
Computation Time (s),3663.298728 ± 668.355825,102.947830 ± 56.635517,1212.502375 ± 470.273603,777.313833 ± 664.636024
Optimization Steps,666.000000 ± 118.000000,225.000000 ± 137.000000,213.000000 ± 56.000000,405.000000 ± 322.000000
