Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.036776 ± 0.004650,0.615304 ± 0.010301,0.618838 ± 0.015641,0.613454 ± 0.026472
State Transition Matrix Rel. Frob. Diff,0.572560 ± 0.087313,1.069616 ± 0.481280,1.363134 ± 0.202685,1.244648 ± 0.688608
Volatility Covar. LogDet Diff,-6.446077 ± 2.949009,-0.387412 ± 0.022481,-0.391358 ± 0.002758,-0.386615 ± 0.008687
Volatility Trans. Matrix Rel. Frob. Diff,0.295551 ± 0.122096,0.254998 ± 0.128568,0.188449 ± 0.090832,0.204110 ± 0.103436
