Metric,BIF (Mean ± Std),PF-1000 (Mean ± Std),PF-5000 (Mean ± Std),PF-10000 (Mean ± Std)
Risk Premium RMSE,0.020049 ± 0.007494,0.615949 ± 0.057152,0.647705 ± 0.000142,0.564171 ± 0.035567
State Transition Matrix Rel. Frob. Diff,0.535144 ± 0.086285,0.477710 ± 0.102678,0.408809 ± 0.000280,0.876111 ± 0.506670
Volatility Covar. LogDet Diff,-4.653044 ± 1.085948,0.983468 ± 0.003111,0.981454 ± 0.000083,-0.387089 ± 0.005814
Volatility Trans. Matrix Rel. Frob. Diff,0.149402 ± 0.025090,0.144827 ± 0.015530,0.133993 ± 0.000091,0.270997 ± 0.155636
